Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
│           270/1000 │               0.26 │                 30 │               2.55 │       000: -0.1505 │
│           271/1000 │               0.28 │                 50 │               2.80 │       000: -0.0090 │
│           272/1000 │               0.28 │                 87 │               2.77 │        000: 1.3021 │
│           273/1000 │               0.27 │                 95 │               2.71 │        000: 1.5846 │
│           274/1000 │               0.27 │                 40 │               2.73 │       000: -0.5579 │
│           275/1000 │               0.27 │                 90 │               2.75 │        000: 1.3825 │
│           276/1000 │               0.28 │                 53 │               2.76 │       000: -8.0519 │
│           277/1000 │               0.27 │                173 │               2.74 │        000: 4.1539 │
│           278/1000 │               0.27 │                 44 │               2.73 │       000: -0.3693 │
│           279/1000 │               0.28 │                143 │               2.77 │        000: 3.2452 │
│           280/1000 │               0.27 │                111 │               2.71 │        000: 1.6011 │
│           281/1000 │               0.27 │                 61 │               2.73 │        000: 0.8072 │
│           282/1000 │               0.28 │                 21 │               2.76 │       000: -0.5287 │
│           283/1000 │               0.28 │                 46 │               2.76 │        000: 0.3589 │
│           284/1000 │               0.28 │                 62 │               2.77 │        000: 0.8338 │
│           285/1000 │               0.27 │                 89 │               2.72 │        000: 1.6840 │
│           286/1000 │               0.27 │                 64 │               2.73 │        000: 0.8909 │
│           287/1000 │               0.27 │                114 │               2.73 │        000: 2.4168 │
│           288/1000 │               0.28 │                 26 │               2.80 │       000: -0.2714 │
│           289/1000 │               0.27 │                155 │               2.71 │        000: 3.5626 │
│           290/1000 │               0.28 │                 42 │               2.79 │        000: 0.2060 │
│           291/1000 │               0.26 │                 27 │               2.58 │       000: -0.2325 │
│           292/1000 │               0.28 │                 49 │               2.75 │       000: -6.6423 │
│           293/1000 │               0.28 │                123 │               2.76 │        000: 2.0257 │
