         72185222 function calls (70457580 primitive calls) in 50.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1590    0.017    0.000    0.030    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      560    0.002    0.000    0.029    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:3783(_get_item_cache)
  588/147    0.003    0.000    0.029    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/torch/nn/modules/module.py:866(_call_impl)
      560    0.002    0.000    0.028    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:5889(copy)
     6020    0.010    0.000    0.028    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_dtype.py:321(_name_get)
      560    0.001    0.000    0.028    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexing.py:882(__getitem__)
      147    0.002    0.000    0.028    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/common/models.py:69(forward)
       70    0.001    0.000    0.027    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/reshape/concat.py:469(get_result)
      140    0.000    0.000    0.027    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/construction.py:713(_convert_object_array)
     2676    0.015    0.000    0.027    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/lib/shape_base.py:1171(tile)
      140    0.000    0.000    0.027    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/construction.py:736(<listcomp>)
     1400    0.002    0.000    0.026    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/construction.py:730(convert)
      560    0.001    0.000    0.026    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:3824(_set_item)
      560    0.000    0.000    0.026    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexing.py:1479(_getitem_axis)
     8960    0.009    0.000    0.026    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:538(name)
      560    0.003    0.000    0.026    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1415(where)
      560    0.001    0.000    0.026    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/indexing.py:1505(_get_slice_axis)
14086/13526    0.007    0.000    0.025    0.000 {built-in method builtins.all}
     7280    0.005    0.000    0.025    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/construction.py:354(extract_array)
     4110    0.007    0.000    0.025    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
     2676    0.004    0.000    0.025    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/shape_base.py:223(vstack)
     3080    0.008    0.000    0.024    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1257(maybe_castable)
     5320    0.011    0.000    0.023    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/blocks.py:127(__init__)
     6650    0.004    0.000    0.023    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/common.py:499(is_interval_dtype)
      560    0.001    0.000    0.023    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:3820(_iset_item)
      560    0.000    0.000    0.022    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:834(_slice)
      560    0.001    0.000    0.022    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:935(_get_values)
     6650    0.004    0.000    0.022    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/common.py:463(is_period_dtype)
  630/350    0.003    0.000    0.022    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:223(to_dict)
    45871    0.021    0.000    0.021    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:112(act)
     1120    0.002    0.000    0.021    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:118(_na_arithmetic_op)
       70    0.001    0.000    0.021    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/concat.py:35(concatenate_block_managers)
      560    0.010    0.000    0.021    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1057(iset)
       29    0.000    0.000    0.020    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/torch/tensor.py:195(backward)
       29    0.000    0.000    0.020    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/torch/autograd/__init__.py:68(backward)
       29    0.020    0.001    0.020    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
       60    0.000    0.000    0.020    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/abstract.py:135(get_state_action_values)
       60    0.001    0.000    0.019    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:79(get_batch_state_action_values)
      560    0.001    0.000    0.019    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:620(fillna)
83112/69262    0.015    0.000    0.019    0.000 {built-in method builtins.len}
       70    0.000    0.000    0.019    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:202(<listcomp>)
     6650    0.004    0.000    0.019    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/common.py:537(is_categorical_dtype)
      280    0.001    0.000    0.018    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/internals/managers.py:1844(_multi_blockify)
     6090    0.005    0.000    0.018    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/dtypes.py:1132(is_dtype)
     1120    0.001    0.000    0.018    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/computation/expressions.py:218(evaluate)
     8750    0.006    0.000    0.018    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/common.py:201(is_object_dtype)
      441    0.001    0.000    0.018    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/torch/nn/modules/linear.py:93(forward)
     1400    0.011    0.000    0.018    0.000 {pandas._libs.lib.maybe_convert_objects}
     6090    0.004    0.000    0.017    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/dtypes/dtypes.py:923(is_dtype)
